Group,Samples,Accuracy,Precision,Recall,F1,Prediction Rate,Actual Positive Rate,False Positive Rate,False Negative Rate
Youngest tertile,52,0.8846153846153846,0.5,1.0,0.6666666666666666,0.23076923076923078,0.11538461538461539,0.13043478260869565,0.0
Middle tertile,51,0.7058823529411765,0.6666666666666666,0.6956521739130435,0.6808510638297872,0.47058823529411764,0.45098039215686275,0.2857142857142857,0.30434782608695654
Oldest tertile,51,0.7647058823529411,0.6857142857142857,0.96,0.8,0.6862745098039216,0.49019607843137253,0.4230769230769231,0.04
